time,open,high,low,close,Volume,Volume MA
1589317200,0.64705,0.65242,0.64384,0.64533,324136,244571.75
1589403600,0.64533,0.64689,0.64034,0.64602,276224,240821.35
1589490000,0.64602,0.6473599999999999,0.64022,0.64138,221123,235869.1
1589749200,0.6418,0.65274,0.64101,0.65245,197997,233268.4
1589835600,0.65245,0.65847,0.6509699999999999,0.65343,243559,228961.95
1589922000,0.65343,0.66161,0.65252,0.6597,197323,226961.2
1590008400,0.6597,0.65982,0.6549,0.65633,241151,225136.25
1590094800,0.65633,0.65723,0.6505799999999999,0.65342,203350,225191.6
1590354000,0.65316,0.65503,0.65198,0.65428,131815,222121.35
1590440400,0.65428,0.66753,0.65378,0.66505,217061,221776.8
1590526800,0.66505,0.66802,0.6567,0.6619,312583,226352.45
1590613200,0.6619,0.66674,0.65883,0.66358,308896,227488.85
1590699600,0.66358,0.66832,0.66091,0.66653,362761,235501.55
1590958800,0.6656,0.68035,0.6648,0.67974,295418,238191.6
1591045200,0.67974,0.68986,0.67747,0.68961,289937,242380.15
1591131600,0.68961,0.69829,0.6856599999999999,0.69197,382753,252241.8
1591218000,0.69197,0.6987599999999999,0.6882199999999999,0.69425,372515,260413.15
1591304400,0.69425,0.70129,0.69307,0.69677,347893,268684.55
1591563600,0.69656,0.70297,0.69617,0.70207,240114,270683.65
1591650000,0.70207,0.70428,0.68987,0.6960999999999999,346320,275646.45
1591736400,0.6960999999999999,0.70643,0.69326,0.69975,452685,282073.9
1591822800,0.69975,0.7004,0.68393,0.68548,543708,295448.1
1591909200,0.68548,0.69117,0.67996,0.68668,579754,313379.65
1592168400,0.68395,0.69251,0.67765,0.6919,611110,334035.3
1592254800,0.6919,0.69766,0.68335,0.68881,518638,347789.25
1592341200,0.68881,0.69229,0.68521,0.68836,438351,359840.65
1592427600,0.68836,0.69024,0.68359,0.6852,376898,366628
1592514000,0.6852,0.69115,0.68287,0.68331,320014,372461.2
1592773200,0.68082,0.69224,0.68075,0.69076,264009,379070.9
1592859600,0.69076,0.69746,0.6858,0.6929,356628,386049.25
1592946000,0.6929,0.69618,0.6862699999999999,0.68677,356446,388242.4
1593032400,0.68677,0.6892699999999999,0.68473,0.68865,768788,411237
1593118800,0.68865,0.68955,0.68406,0.68611,292040,407700.95
1593378000,0.68606,0.68909,0.68417,0.68643,276664,406763.25
1593464400,0.68643,0.69122,0.68328,0.6903,264820,405507.4
1593550800,0.6903,0.69437,0.68771,0.6914399999999999,267122,399725.85
1593637200,0.6914399999999999,0.69523,0.69015,0.6922,277434,394971.8
1593723600,0.6922,0.69475,0.69138,0.69427,162297,385692
1593982800,0.6928,0.69876,0.6928,0.69726,195305,383451.55
1594069200,0.69726,0.69978,0.69219,0.69694,193881,375829.6
